XFLR5 v6.09.01 beta
NACA 0014
T1_Al 0.00_M0.30_N12.0
Alpha =  30.0,  Re = 30000000,  Ma = 0.3000,  ACrit =12.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.621    -0.815     0.632     1.328
 0.9975    0.502    -0.816     0.718     1.328
 0.9929    0.437    -0.817     0.761     1.328
 0.9871    0.381    -0.818     0.796     1.329
 0.9802    0.332    -0.819     0.825     1.329
 0.9725    0.288    -0.820     0.851     1.330
 0.9641    0.246    -0.822     0.874     1.330
 0.9550    0.206    -0.824     0.896     1.331
 0.9454    0.167    -0.826     0.917     1.331
 0.9352    0.129    -0.827     0.936     1.332
 0.9246    0.091    -0.830     0.955     1.333
 0.9136    0.054    -0.832     0.974     1.334
 0.9022    0.018    -0.834     0.991     1.334
 0.8904   -0.019    -0.836     1.009     1.335
 0.8783   -0.055    -0.839     1.026     1.336
 0.8660   -0.092    -0.841     1.043     1.337
 0.8533   -0.128    -0.844     1.059     1.338
 0.8404   -0.165    -0.846     1.076     1.339
 0.8273   -0.203    -0.849     1.092     1.340
 0.8140   -0.240    -0.852     1.108     1.341
 0.8005   -0.278    -0.855     1.124     1.342
 0.7868   -0.317    -0.858     1.140     1.343
 0.7730   -0.357    -0.861     1.156     1.344
 0.7591   -0.397    -0.864     1.173     1.345
 0.7450   -0.438    -0.867     1.189     1.346
 0.7308   -0.479    -0.871     1.205     1.347
 0.7165   -0.522    -0.874     1.222     1.348
 0.7022   -0.566    -0.878     1.238     1.349
 0.6878   -0.611    -0.881     1.255     1.350
 0.6733   -0.657    -0.885     1.272     1.352
 0.6588   -0.704    -0.888     1.289     1.353
 0.6442   -0.753    -0.892     1.306     1.354
 0.6297   -0.803    -0.896     1.324     1.356
 0.6151   -0.855    -0.900     1.341     1.357
 0.6005   -0.908    -0.904     1.360     1.358
 0.5860   -0.963    -0.908     1.378     1.360
 0.5714   -1.020    -0.913     1.397     1.361
 0.5569   -1.079    -0.917     1.416     1.363
 0.5424   -1.141    -0.922     1.435     1.364
 0.5280   -1.204    -0.926     1.455     1.366
 0.5136   -1.270    -0.931     1.475     1.367
 0.4993   -1.338    -0.936     1.496     1.369
 0.4850   -1.409    -0.941     1.517     1.370
 0.4709   -1.483    -0.946     1.539     1.372
 0.4568   -1.560    -0.951     1.561     1.374
 0.4428   -1.640    -0.956     1.584     1.376
 0.4289   -1.724    -0.961     1.607     1.377
 0.4152   -1.811    -0.967     1.631     1.379
 0.4015   -1.902    -0.973     1.655     1.381
 0.3880   -1.998    -0.978     1.680     1.383
 0.3746   -2.098    -0.984     1.706     1.385
 0.3613   -2.202    -0.991     1.732     1.387
 0.3482   -2.312    -0.997     1.759     1.389
 0.3353   -2.427    -1.004     1.787     1.391
 0.3225   -2.548    -1.010     1.815     1.393
 0.3099   -2.675    -1.017     1.845     1.396
 0.2974   -2.810    -1.024     1.875     1.398
 0.2851   -2.951    -1.032     1.907     1.400
 0.2730   -3.101    -1.039     1.939     1.403
 0.2611   -3.259    -1.047     1.973     1.405
 0.2494   -3.427    -1.055     2.008     1.408
 0.2379   -3.606    -1.064     2.044     1.411
 0.2266   -3.796    -1.072     2.081     1.414
 0.2155   -3.998    -1.081     2.120     1.417
 0.2046   -4.215    -1.091     2.160     1.420
 0.1939   -4.447    -1.101     2.202     1.423
 0.1835   -4.696    -1.111     2.246     1.426
 0.1733   -4.964    -1.122     2.291     1.429
 0.1634   -5.254    -1.133     2.339     1.433
 0.1537   -5.568    -1.145     2.389     1.437
 0.1442   -5.910    -1.157     2.442     1.440
 0.1350   -6.282    -1.170     2.497     1.445
 0.1261   -6.691    -1.184     2.555     1.449
 0.1174   -7.140    -1.199     2.617     1.453
 0.1090   -7.637    -1.214     2.682     1.458
 0.1008   -8.190    -1.231     2.752     1.464
 0.0930   -8.806    -1.249     2.826     1.469
 0.0854   -9.500    -1.268     2.904     1.475
 0.0781  -10.284    -1.290     2.989     1.481
 0.0712  -11.177    -1.313     3.079     1.488
 0.0645  -12.202    -1.339     3.176     1.496
 0.0581  -13.390    -1.367     3.281     1.505
 0.0520  -14.777    -1.400     3.394     1.515
 0.0463  -16.416    -1.437     3.516     1.526
 0.0408  -18.374    -1.481     3.649     1.538
 0.0357  -20.745    -1.534     3.794     1.553
 0.0309  -23.659    -1.598     3.951     1.572
 0.0264  -27.301    -1.678     4.122     1.594
 0.0223  -31.942    -1.780     4.308     1.622
 0.0185  -37.984    -1.904     4.509     1.655
 0.0150  -46.050    -2.043     4.724     1.691
 0.0119  -57.122    -2.333     4.953     1.764
 0.0092  -72.786    -3.620     5.191     2.046
 0.0067  -95.597    -4.735     5.430     2.252
 0.0047  -129.411    -5.703     5.658     2.410
 0.0030  -178.412    -7.050     5.858     2.605
 0.0017  -239.786    -7.236     6.006     2.630
 0.0008  -284.911    -7.570     6.078     2.674
 0.0002  -269.019    -7.489     6.055     2.663
 0.0000  -206.587    -6.998     5.935     2.598
 0.0002  -147.653    -6.247     5.745     2.492
 0.0008  -101.003    -5.287     5.474     2.344
 0.0017  -68.689    -4.239     5.136     2.164
 0.0030  -47.446    -3.224     4.757     1.965
 0.0047  -33.493    -2.319     4.363     1.761
 0.0067  -24.151    -1.559     3.975     1.561
 0.0092  -17.737    -0.943     3.607     1.371
 0.0119  -13.218    -0.456     3.266     1.196
 0.0150   -9.957    -0.076     2.954     1.036
 0.0185   -7.554     0.216     2.672     0.890
 0.0223   -5.749     0.440     2.417     0.759
 0.0264   -4.370     0.610     2.188     0.640
 0.0309   -3.303     0.737     1.982     0.533
 0.0357   -2.466     0.833     1.796     0.436
 0.0408   -1.803     0.902     1.628     0.348
 0.0463   -1.273     0.952     1.476     0.268
 0.0520   -0.845     0.986     1.338     0.194
 0.0581   -0.498     1.007     1.212     0.127
 0.0645   -0.215     1.019     1.097     0.065
 0.0712    0.017     1.024     0.992     0.008
 0.0781    0.208     1.022     0.895    -0.045
 0.0854    0.365     1.015     0.806    -0.094
 0.0930    0.495     1.004     0.723    -0.140
 0.1008    0.602     0.990     0.646    -0.182
